阿尔巴尼亚列克, ALL
阿尔及利亚第纳尔, DZD
阿富汗尼, AFN
阿根廷披索, ARS
阿联酋迪拉姆, AED
阿鲁巴盾, AWG
阿曼里亚尔, OMR
阿塞拜疆新马纳特, AZN
埃及镑, EGP
埃塞俄比亚比尔, ETB
安哥拉宽扎, AOA
澳大利亚元, AUD
澳门币, MOP
巴巴多斯元, BBD
巴哈马元, BSD
巴基斯坦卢比, PKR
巴拉圭瓜拉尼, PYG
巴林第纳尔, BHD
巴拿马巴波亚, PAB
巴西雷亚尔, BRL
白俄罗斯卢布, BYR
百慕大元, BMD
保加利亚列瓦, BGN
冰岛克朗, ISK
波兰兹罗提, PLN
波斯尼亚和黑塞哥维那可, BAM
玻利维亚诺, BOB
伯利兹元, BZD
博茨瓦纳普拉, BWP
不丹努扎姆, BTN
布隆迪法郎, BIF
朝鲜元, KPW
丹麦克朗, DKK
东加勒比元, XCD
多米尼加比索, DOP
俄罗斯卢布, RUB
厄立特里亚, ERN
菲律宾比索, PHP
斐济元, FJD
佛得角埃斯库多, CVE
福克兰群岛镑, FKP
冈比亚达拉西, GMD
刚果法郎, CDF
港币, HKD
哥伦比亚比索, COP
哥斯达黎加科朗, CRC
格鲁吉亚拉里, GEL
古巴比索, CUP
圭亚那元, GYD
哈萨克斯坦坚戈, KZT
海地古德, HTG
韩国元, KRW
荷兰盾, ANG
洪都拉斯伦皮拉, HNL
黄金, XAU
吉布提法郎, DJF
吉尔吉斯索姆, KGS
几内亚法郎, GNF
加拿大元, CAD
加纳塞地, GHS
柬埔寨瑞尔, KHR
捷克克朗, CZK
津巴布韦元, ZWL
卡塔尔里亚尔, QAR
开曼群岛元, KYD
科摩罗法郎, KMF
科威特第纳尔, KWD
克罗地亚库纳, HRK
肯尼亚先令, KES
拉脱维亚拉特, LVL
莱索托洛提, LSL
老挝基普, LAK
离岸人民币, CNH
黎巴嫩镑, LBP
立陶宛立特, LTL
利比里亚元, LRD
利比亚第纳尔, LYD
卢旺达法郎, RWF
罗马尼亚列伊, RON
马达加斯加阿里亚里, MGA
马尔代夫拉菲亚, MVR
马拉维克瓦查, MWK
马来西亚林吉特, MYR
马其顿第纳尔, MKD
毛里求斯卢比, MUR
毛里塔尼亚乌吉亚, MRO
美元, USD
蒙古图格里克, MNT
孟加拉国塔卡, BDT
秘鲁新索尔, PEN
缅元, MMK
摩尔多瓦列伊, MDL
摩洛哥迪拉姆, MAD
莫桑比克梅蒂卡尔, MZN
墨西哥比索, MXN
纳米比亚元, NAD
南非兰特, ZAR
尼泊尔卢比, NPR
尼加拉瓜科多巴, NIO
尼日利亚第纳尔, NGN
挪威克朗, NOK
欧元, EUR
人民币, CNY
日元, JPY
瑞典克朗, SEK
瑞士法郎, CHF
萨尔瓦多科朗, SVC
萨摩亚塔拉, WST
塞尔维亚第纳尔, RSD
塞拉利昂利昂, SLL
塞舌尔卢比, SCR
沙特阿拉伯里亚尔, SAR
圣多美多布拉, STD
圣赫勒拿镑, SHP
斯里兰卡卢比, LKR
斯威士兰里兰吉尼, SZL
苏丹镑, SDG
苏里南元, SRD
所罗门群岛元, SBD
索马里先令, SOS
塔吉克斯坦索莫尼, TJS
台币, TWD
太平洋法郎, XPF
泰铢, THB
坦桑尼亚先令, TZS
特别提款权（国际货币基金）, XDR
特立尼达和多巴哥元, TTD
突尼斯第纳尔, TND
土耳其里拉, TRY
土库曼斯坦马纳特, TMT
瓦努阿图瓦图, VUV
危地马拉格查尔, GTQ
委内瑞拉玻利瓦尔, VEF
文莱元, BND
乌干达先令, UGX
乌克兰格里夫纳, UAH
乌拉圭比索, UYU
乌兹别克斯坦索姆, UZS
西非法郎, XOF
新几内亚基那基那, PGK
新加坡元, SGD
新西兰元, NZD
匈牙利福林, HUF
叙利亚镑, SYP
牙买加元, JMD
亚美尼亚德拉姆, AMD
也门里亚尔, YER
伊拉克第纳尔, IQD
伊朗里亚尔, IRR
以色列谢克尔, ILS
印度卢比, INR
印度尼西亚盾, IDR
英镑, GBP
约旦第纳尔, JOD
越南盾, VND
赞比亚克瓦查, ZMW
直布罗陀镑, GIP
智利比索, CLF
智利比索, CLP
中非法郎, XAF
